Abhijeet Ahuja
Saim Hussain
N Khanna
H Lakov
Zain Ahmad
Jaspal Singh
Haseeb Amjad
Faizan Asif
BJ Hodge
Sohail Tanvir
MN Waller
C Zavoiu
Wei Guo Lei
Yasir Ali
F Stoman
CJ Delany
M Kaif
RW Sims
SJ Harmison
PJ Forrest
JL Pattinson
DW Steyn
Chaudhary Akram
Atif Rasheed
SA Ahmad
M Kristensen
Aslam Mohammad
Bakhtiar Tahiri
P Florin
WAE Burton
A Dizija
TC Bruce
D Cleaver
RR O'Donnell
MJ Henry
JL Finnie
WD Barnes
DJ Mitchell
TL Seifert
MA Pollard
MG Bracewell
HD Rutherford
JA Duffy
AF Milne
WER Somerville
FH Allen
KD Clarke
GR Hay
HR Cooper
HK Bennett
A Ashok
BM Johnson
W Clark
JM Gibson
LJ Fletcher
CS MacLeod
T Kohler-Cadmore
ZJ Chappell
MJJ Critchley
SA Patterson
HC Brook
JG Myburgh
IA Cockbain
D Smit
GG Wagg
CO Thurston
Z Crawley
TC Fell
PR Brown
TB Sole
RE van der Merwe
TA Lammonby
NJ Selman
HG Munsey
GJ Delany
JL Smith
TG Helm
BC Cullen
TN Cullen
JT Ball
JP Behrendorff
LWP Wells
CA Lynn
AGH Orr
TW Hartley
TMJ Smith
Usama Mir
N McAndrew
MG Finan
Zaman Akhter
S Sengupta
Omar Rassol
M Akayezu
C Rububagumya
E Sebareme
S Thakor
BJ Watling
Asad Mahmood
Rashid Latif
M Taniyama
Tian Sen Qun
GB Murgatroyd
CZ Harris
AR Adams
HS Modi
AJ Burger
A Flower
TBM de Leede
KJJ van Noortwijk
DB Kotze
D Keulder
D Langford-Smith
OL Pitcher
CD Collymore
CM Wright
DR Brown
DCC Borden
Azhar Mahmood
CJ Chibhabha
HA Varaiya
JA Brooks
MJ Potts
GJ Harte
EN Gay
LJ Hurt
C Rushworth
MP Dunn
ER Bamber
GT Griffiths
HW Podmore
DR Melton
GP Smith
GD Cross
DA Cosker
MT Coles
MAG Boyce
GJ Batty
ST Finn
NRD Compton
CJ Taylor
A Kapil
MC Henriques
WA White
SKW Wood
J Leach
SJ Thakor
AJ Mellor
CM Dickinson
MB McEwan
JD Baker
RJ McCone
BV Sears
C Viljoen
OMR Pringle
SB Davey
NA Greenwood
DJ Harris
GA Manou
XJ Doherty
